Take Down System . . . . . . . . . . . . .,. . . . . . . . . . . 85
Target . . . . . . . . . . . . . . . . . .,. . . . . . . . . . . . . . . . . .122
Target Position . . . . . . . . . .,. . . . . . . . . . . . . . . . . .122
Technical System Information,
Compliance and Classification,. . . . . . . . . . .114
Disposal Information . .,. . . . . . . . . . . . . . . . . .114
Manufacturer information,. . . . . . . . . . . . . . .114
System Labels...........................114,
Third-Party Compatibility . .,. . . . . . . . . . . . . . . 106
Top and bottom monitor interface.,. . . . . . . . . .21
Touchscreen . . . . . . . . . . . .,". . . . . . . . . . . . . . 40, 122"
Trackball . . . . . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . 39
Troubleshooting.......................,93 - 94
Type BF . . . . . . . . . . . . . . . . .,. . . . . . . . . . . . . . . . . .122
Type,CF...................................122
