,Cable Layout . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 51
6.3,Auxiliary Connections. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .52
,HDMI Output. . . . . . . . . . . . . . . . . . . . . . . . . . .,. .52
,"Fluoroscope, R-EBUS, and Bronchoscope. . . . . . . . . . . . .",. .53
Chapter 7 Startup . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,,. . .54
7.1,. . . Start Up the System. . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .54
7.2,Power Button Color Indicators. . . . . . . . . . . . . . . . . . . .,. .54
7.3,Emergency Stop Button . . . . . . . . . . . . . . . . . . . . . . . . .,. .55
,. . . . . . . . . . . . . . . . . . . . . . . . . .,.55
7.4,Emergency Power Off.,.
Chapter 8 Prepare for Procedure . . . . . . . . . . . . . . . .,,. . .56
8.1,. . . . . . . . . Prepare Instruments and Accessories. . . . . . . . . . . . . . .,. .56
,Prepare Materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .56
,Prepare Catheter. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .57
8.2,Select Compatible Third-Party Biopsy Tools . . . . . . . . .,. .58
8.3,Position System for Procedure . . . . . . . . . . . . . . . . . . . .,. .59 . .59
8.4,Set Up System for Docking. . . . . . . . . . . . . . . . . . . . . . . Perform System Tests . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .59
,Attach Instruments and . . . . . . . . . . . . . . . .,. .60
8.5,Accessories .,.67
,Log in to Your Intuitive Account . . . . . . . . . . . . . . . . . Log In to Your Intuitive Account. . . . . . . . . . . . . . . . . . . .,. . .67
,Log Out or Change Intuitive Accounts . . . . . . . . . . . . . . .,. .68
8.6,Load Patient Plan . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .68
,USB Only . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .68
,USB or Network Drive . . . . . . . . . . . . . . . . . . . . . . . . . . .,.69
8.7,Preview Plan . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . .70
8.8,Prepare Patient for Docking. . . . . . . . . . . . . . . . . . . . . .,. .72
8.9,Dock to Patient . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .72
Chapter 9 Procedure and Biopsy . . .,,. . .75
9.1,Register . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .75
9.2,Navigate. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .77
9.3,Biopsy Overview . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .78
,Before Biopsy. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .78
,Before Tool Exchange . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .79
,After Biopsy Always Evaluate Airway . . . . . . . . . . . . . . . .,. .79
9.4,Flexision Needle Biopsy . . . . . . . . . . . . . . . . . . . . . . . . . .,. .80
,Remove Samples . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .82
,Repeat Needle Biopsy . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .82
9.5,Compatible Third-Party Tool Use. . . . . . . . . . . . . . . . . .,. .83
,Forceps . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .83
,Syringe . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .84
,Third-Party Bronchoalveolar Lavage Kit . . . . . . . . . . . . .,. .84
,Fiducial Marker Placement Using Third-Party Brush Tool.,. .84
,Bronchial Balloons (Endobronchial Blockers). . . . . . . . . .,. .85
9.6,Repeat Navigation and Biopsy. . . . . . . . . . . . . . . . . . . .,. .85
9.7,Take Down System . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .85
Chapter 10 Finish Procedure . . .,. . . . . . . . . . . . . . . . . . . . . . . . . .,. .86
10.1,Take Down System . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .86
,Instrument and Accessory Uses. . . . . . . . . . . . . . . . . . . . .,. .87
10.2,Clean and Disinfect System . . . . . . . . . . . . . . . . . . . . .,. .88
