Battery . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .116
Before Biopsy . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 78
,BF........................................122
Biopsy Marker..............................41,
Biopsy Overview,
After Biopsy Always Evaluate Airway . . . . .,. 78
Before Biopsy . . . . . . . . . . . . . . . . . . . . . . . . .,. . 78
Before Tool Exchange....................,78
Biopsy Tab,
Biopsy Marker............................41,
Capture Fluoro Reference . . . . . . . . . . . . . . .,. .41
Target Position . . . . . . . . . . . . . . . . . . . . . . . .,. . .41
Bronch Suite . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .122
Bronchial Balloon. . . . . . . . . . . . . . . . . . . . . . . .,. 106
Bronchoalveolar Lavage Kit . . . . . . . . . . . . . . .,106
Bronchoscope............................,106
