Cable Layout...............................51,
Capture Fluoro Reference . . . . . . . . . . . . . . . . .,. .41
Carriage..................................122,
Catheter,
Device overview . . . . . . . . . . . . . . . . . . . . . . . .,. 27
Mid-procedure exchange . . . . . . . . . . . . . . .,103
Prepare.................................,57
Reprocessing Cover......................,27
Catheter Guide............................,27
Caution definition . . . . . . . . . . . . . . . . . . . . . . . . CCSD,.122
