Fault . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,.122
FCC Compliance . . . . . . . . . . . . . . . . . . . . . . . . .,. 111
Fiducial Marker............................122,
Placement Using Third-Party Brush Tool. .,106
Finish Procedure,
Store System............................,86
Stow System . . . . . . . . . . . . . . . . . . . . . . . . . . .,. 86
Finish Tab..................................41,
Flexision Biopsy Needles . . . . . . . . . . . . . . . . . .,. 27
Flexision Needle Biopsy . . .,
Remove Samples . . . . . . . . . . . . . . . . . . . .,. 80
Repeat Needle Biopsy....................,80
Fluoro . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,.122
Fluoroscope...............................122,
Fluoroscopy................................41,
Foot brakes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. .41
Fully Articulating Catheter,
Device overview . . . . . . . . . . . . . . . . . . . . . . . .,. 27
Prepare.................................,57
Reprocessing Cover......................,27
