PACS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . .41
Passive button . . . . . . . . . . . . . . . . . . . . . . . .,. . .41
Patient Plans . . . . . . . . . . . . . . . . . . . . . . . . .,. . .41
Perform System Tests. . . . . . . . . . . . . . . . . .,. . 59
Physical Dimensions . . . . . . . . . . . . . . . . . . .,. 109
Plan,
Load patient plan,...................68 - 69
"Patient, load plan ...................68",- 69
PlanPoint Planning Station. . . . . . . . . . . . .,. . 25
Position System for Procedure . . . . . . . . . .,. . 59
Power Button Color Indicators. . . . . . . . . .,. . 35
Power Cable . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 50
Power Requirements,
Main Components.......................,50
System Cart . . . . . . . . . . . . . . . . . . . . . . . .,. . 50
Power Requirements - System Cart . . . . .,. 108
Power Specifications Main Components......................,109
Power Specifications - Main Components,. 108
Prepare Attach Instruments and Accessories . .,. . 60
Compatible Third-Party Biopsy Tools . .,. . 60
Docking . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 60
Instruments and Accessories . . . . . . . . .,. . 60
Load Plan...............................,60
Patient for Docking......................,60
Perform System Tests.. . . . . . . . . . . . . . .,. . 60
Position System for Procedure . . . . . . . .,. . 60
Prepare for Procedure,
Docking . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 56
Instruments and Accessories . . . . . . . . .,. . 56
Position System for Procedure . . . . . . . .,. . 56
Prepare Patient for Docking..............,56
Select Compatible Third-Party Biopsy Tools . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 56
Prepare Instruments and Accessories . . .,. . 56
Prepare Patient for Docking................,72
Preview....................................41,
Preview Path..............................,70
Preview plan . . . . . . . . . . . . . . . . . . . . . . . . . .,. . 70
Procedure and Biopsy,
Biopsy Overview.........................,75
Flexision Needle Biopsy . . . . . . . . . . . . . .,. . 75
