Start Up the System . . . . . . . . . . . . . . . . . . . .,. . . 54
Startup,
Emergency Power Off....................,54
Emergency Stop Button..................,54
Power Button Color Indicators. . . . . . . . .,. . . 54
System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . . 54
Store System..............................,92
Stow System . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . . 92
Suction Adapter...........................,27
Swivel Connector..........................,27
Symbols . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . .118
System Cart . . . . . . . . . . . . . . . . . . . . . . . . . .,"26, 122"
System Cart and Controller Location,
Move and Position the Controller . . . . . .,. . . 48
Move and Position the System Cart . . . .,. . . 48
System Cart Monitors......................,36
System Cart Use...........................,33
System Labels.............................115,
System Overview . . . . . . . . . . . . . . . . . . . . . . .,. . . 24
System Power Cords . . . . . . . . . . . . . . . . . . . .,. . . 50
System software Updates . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . . .18
System Specifications . . . . . . . . . . . . . . . . . .,. . 108
T,
Take Down System . . . . . . . . . . . . . . . . . . . . .,. . . 85
Target . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . .122
Target Position . . . . . . . . . . . . . . . . . . . . . . . . .,. . .122
Technical System Information,
Compliance and Classification . . . . . . . .,. . .114
Disposal Information . . . . . . . . . . . . . . . . .,. . .114
Manufacturer information . . . . . . . . . . . .,. . .114
System Labels...........................114,
Third-Party Compatibility . . . . . . . . . . . . . . .,. . 106
Top and bottom monitor interface. . . . . . .,. . . .21
Touchscreen . . . . . . . . . . . . . . . . . . . . . . . . . .,"40, 122"
Trackball . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . . 39
Troubleshooting.......................,93 - 94
Type BF . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . .122
Type,CF...................................122
U,
Unexpected Motion........................,94
USB,
Errors. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . . 96
USB inputs................................,39
Using a Third-Party Bronchoalveolar,
Lavage Kit . . . . . . . . . . . . . . . . . . . . . . . . . . . .,. . . 84
Using Compatible Third-party Tools,
