LED . . . . . . . . . . . . .,. . . . . . . . . . . . . . . . . . . . . . . . .122
Load patient plan,. . . . . . . . . . . . . . . . . . . . . . . . . 68
Network Drive. .,. . . . . . . . . . . . . . . . . . . . . . . . . 69
USB,................................68 - 69
Lock to Path . . . . .,. . . . . . . . . . . . . . . . . . . . . . . . . .41
Log in,
Intuitive account,". . . . . . . . . . . . . . . . . . . . . 45, 67"
Networked login,". . . . . . . . . . . . . . . . . . . . . 45, 67"
Log out,
Intuitive account,. . . . . . . . . . . . . . . . . . . . . . . . 68
Networked login,. . . . . . . . . . . . . . . . . . . . . . . . 68
